country,year,ecommerce_sales_usd_millions
Portugal,2023,640682.886
Republic of Korea,2012,3954874.746
Republic of Korea,2013,4261815.929
Republic of Korea,2014,43028.843
Republic of Korea,2015,47796.541
Republic of Korea,2016,56529.017
Republic of Korea,2017,83276.477
Republic of Korea,2018,102997.443
Republic of Korea,2019,117217.968
Republic of Korea,2020,134108.745
Republic of Korea,2021,168472.122
Republic of Korea,2022,167389.907
Republic of Korea,2023,185504.891
Republic of Korea,2024,384341.96599999996
Serbia,2016,130203.355
Serbia,2017,133517.243
Serbia,2018,427472.089
Serbia,2019,166208.622
Serbia,2020,164520.531
Serbia,2021,238683.474
Serbia,2022,201558.536
Serbia,2023,236264.636
Singapore,2016,887197.152
Singapore,2017,1049729.71
Singapore,2018,1261311.125
Singapore,2019,1353513.705
Singapore,2020,1312710.951
Singapore,2021,1811365.229
Singapore,2022,1979291.343
Singapore,2023,1902771.391
Slovakia,2016,809489.5160000001
Slovakia,2017,680529.248
Slovakia,2018,896407.139
Slovakia,2019,787768.979
Slovakia,2020,819000.726
Slovakia,2021,944871.402
Slovakia,2022,861344.035
Slovakia,2023,1446751.672
Slovenia,2016,138505.681
Slovenia,2017,172360.997
Slovenia,2018,265501.6
Slovenia,2019,169165.026
Slovenia,2020,299972.458
Slovenia,2021,391784.267
Slovenia,2022,341831.594
Slovenia,2023,384066.39400000003
Spain,2016,9519922.087
Spain,2017,10464184.043
Spain,2018,12056509.313
Spain,2019,12197983.134
Spain,2020,11106663.982
Spain,2021,13334610.625
Spain,2022,9506902.097
Spain,2023,16040660.663
Thailand,2015,269203.027
Thailand,2016,383136.39300000004
Thailand,2017,429273.988
Thailand,2018,601525.632
Thailand,2019,667175.407
Thailand,2020,587455.581
Thailand,2021,636321.561
Thailand,2022,664752.352
Thailand,2023,682647.528
Thailand,2024,696490.02
United Kingdom,2012,8844367.168
United Kingdom,2013,10321098.766999999
United Kingdom,2014,17135580.592
United Kingdom,2015,15000943.887
United Kingdom,2016,13499641.847
United Kingdom,2017,14932237.046
United Kingdom,2018,18180288.975
United Kingdom,2019,24594575.613
United Kingdom,2021,3362835.767
United States,2012,13905393.0
United States,2013,15106142.0
United States,2014,16428673.0
United States,2015,19655547.0
United States,2016,20088659.0
United States,2017,22664532.0
United States,2018,24357695.0
United States,2019,25306253.0
United States,2020,25470742.0
United States,2021,29776955.0
United States,2022,17393689.0
